"","ARCHETYPES","NB_COPIES","NB_PLAYERS","TOTAL_NB_MATCHES","WINRATE_AVERAGE","WINRATE_95_MIN","WINRATE_95_MAX","MATCHES_PER_PLAYER","WINRATE_ARCH_OUT_PLAYERS"
"26","Hardened Scales",7,5,56,0.714285714285714,0.577901281040923,0.827048243965805,11.2,0.991759949665517
"27","Uroza",11,9,94,0.734042553191489,0.632902760743607,0.819915868550179,10.4444444444444,1.0370593243256
"28","Boros Prowess",25,23,198,0.686868686868687,0.617293083638361,0.750746566816847,8.60869565217391,1.00543943769608
"29","Devoted",13,9,101,0.722772277227723,0.624817691862817,0.807231281299945,11.2222222222222,1.02760711285233
"30","Infect",2,2,15,0.733333333333333,0.448996758963029,0.922128453708956,7.5,1.00162601626016
"31","Neobrand",3,3,23,0.739130434782609,0.515948029597562,0.897713866084642,7.66666666666667,1.08924485125858
"32","Grinding Breach",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1
"33","Dimir Control",3,1,24,0.75,0.532887197577331,0.902269590525467,24,1.11290322580645
"34","Titan Shift",6,6,48,0.708333333333333,0.559365220086309,0.830469201371971,8,1.02350917431193
"35","Saheeli Combo",2,2,16,0.6875,0.413379363548641,0.889830045282883,8,0.924778761061947
"36","Heliod Combo",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1.10714285714286
"37","Merfolk",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1
"38","Gyruda Reanimator",3,3,22,0.681818181818182,0.45127557242623,0.861353478446202,7.33333333333333,0.996047430830039
"39","Grixis Shadow",4,4,31,0.774193548387097,0.589036133861327,0.904057831654249,7.75,1.03225806451613
"40","Primeval Titan",9,8,72,0.694444444444444,0.574683346685525,0.797620130569933,9,1.01096304076676
"41","WURG Control",6,6,45,0.644444444444444,0.487801005148146,0.781315989264414,7.5,0.971919048743996
"42","Ad Nauseam",10,6,78,0.705128205128205,0.591076217634254,0.803038346610969,13,1.06640152650839
"43","Blue Tron",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"44","Green Tron",16,12,118,0.686440677966102,0.594567494138781,0.76869332212288,9.83333333333333,0.965777774883239
"45","Sultai Control",9,6,72,0.722222222222222,0.604094181767964,0.82135711884772,12,0.98728090903487
"46","Abzan Midrange",2,2,18,0.666666666666667,0.409925238172074,0.866572597493876,9,1.0062893081761
"47","Bant Midrange",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1
"48","Orzhov Midrange",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1
"49","Rakdos Prowess",21,18,169,0.727810650887574,0.654121953537141,0.79332334030546,9.38888888888889,1.01387285721522
"50","Kiki Chord",1,1,8,0.625,0.244863216366552,0.914766585862746,8,1
"51","Ascendancy Combo",2,1,16,0.6875,0.413379363548641,0.889830045282883,16,1
"52","5 C Midrange",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"53","Hammer Time",4,3,29,0.655172413793103,0.456694272332057,0.820616350764888,9.66666666666667,0.943448275862069
"54","Kinnan Legends",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"55","Izzet Control",2,2,14,0.571428571428571,0.288609400038307,0.823388910017882,7,1
"56","Zirda Combo",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,1
"57","Mono White Taxes",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,0.897959183673469
"58","Azorius Control",5,4,39,0.692307692307692,0.524308608458316,0.829804097035305,9.75,0.949675258177714
"59","Thopter Combo",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1
"60","Living End",1,1,8,0.75,0.349144205587176,0.968145973750056,8,1
"61","WUBG Control",1,1,8,0.625,0.244863216366552,0.914766585862746,8,1
"62","Scapeshift",16,12,125,0.72,0.632677961442425,0.796595701787328,10.4166666666667,1.01222287424948
"63","Mardu Prowess",7,7,55,0.709090909090909,0.571017417443885,0.823700342641763,7.85714285714286,1.02442742306341
"64","Thopter Urza",1,1,9,0.666666666666667,0.29929505620854,0.925145368580308,9,1
"65","Jeskai Control",2,2,15,0.733333333333333,0.448996758963029,0.922128453708956,7.5,1.00162601626016
"66","Grixis Control",2,2,15,0.666666666666667,0.383803732541154,0.881758896633119,7.5,1.00900900900901
"67","Jund Prowess",3,3,22,0.727272727272727,0.497778798733651,0.892710751629603,7.33333333333333,1.03543913713405
"68","Mill",1,1,7,0.714285714285714,0.290420863737343,0.963307433823914,7,1
"69","Boros Taxes",1,1,8,0.625,0.244863216366552,0.914766585862746,8,1
"70","Esper Control",1,1,7,0.571428571428571,0.184051567640083,0.901011721557492,7,0.847926267281106
