"","PlayerS","NAppearances","ArchetypeNames","ArchetypeCounts","URL"
"21","SoulStrong",5,"UBRG Shadow; Reclamation; Reclaimer Titan","1; 1; 3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-29#soulstrong_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-04-17#soulstrong_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-11-02#soulstrong_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#soulstrong_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-22#soulstrong_st_place"
"22","Chefen",5,"Eldrazi Tron; Gruul Midrange; Belcher","2; 2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-12#chefen_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-02-09#chefen_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-26#chefen_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-28#chefen_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-02#chefen_th_place"
"23","yamakiller",5,"Eldrazi Tron; Gruul Midrange; Boros Prowess; Obosh Aggro","1; 2; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-19#yamakiller_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-03-31#yamakiller_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-10#yamakiller_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-30#yamakiller_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-01#yamakiller_th_place"
"24","__matsugan",5,"Neobrand; Oops All Spells","4; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-03-08#__matsugan_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-04-12#__matsugan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-04-17#__matsugan_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-12#__matsugan_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-27#__matsugan_nd_place"
"25","__BMJ__",5,"Titan Shift; Devoted Combo; Jund Shadow; UBRG Shadow; Shadow Prowess","1; 1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-players-tour-qualifier-2020-03-23#__bmj___th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-04-20#__bmj___th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-06-02#__bmj___nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-07-20#__bmj___th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-10-04#__bmj___th_place"
"26","Xwhale",5,"Burn; Humans; Reclaimer Titan","1; 1; 3","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2020-04-22#xwhale_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-21#xwhale_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-22#xwhale_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-29#xwhale_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-12-06#xwhale_st_place"
"27","TwistedWombat",5,"Niv To Light; Reclamation; Omnath Saheeli; WURG Control","2; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2020-04-22#twistedwombat_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-05-24#twistedwombat_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-17#twistedwombat_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-18#twistedwombat_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-champ-qual-2020-12-21#twistedwombat_th_place"
"28","Darkiundsa",5,"WBRG Shadow; WUBG Control; Bant Control; Grixis Shadow; Humans","1; 1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-premier-2020-04-22#darkiundsa_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-05-24#darkiundsa_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-05#darkiundsa_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-07#darkiundsa_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-19#darkiundsa_st_place"
"29","Tiemuuu",5,"Izzet Control; Izzet Kiki Jiki","1; 4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-21#tiemuuu_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-09#tiemuuu_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-30#tiemuuu_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-21#tiemuuu_th_place"
"30","gazmon48",5,"Mono Red Prowess; Gruul Midrange; Green Tron; Izzet Prowess","1; 1; 1; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-06-29#gazmon_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-07-26#gazmon_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-16#gazmon_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-03#gazmon_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2021-01-10#gazmon_th_place"
"31","pbarrrgh",4,"Miracles; Reclamation; Stoneblade","1; 2; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-16#pbarrrgh_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-04-12#pbarrrgh_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-06-02#pbarrrgh_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-01#pbarrrgh_nd_place"
"32","Brener",4,"Infect; Stoneblade; Jund Midrange; Golgari Midrange","1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-16#brener_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2019-12-22#brener_nd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-04-05#brener_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-04-26#brener_th_place"
"33","Bayesta_93",4,"Urza Oko; Green Tron; Boros Prowess; Shadow Prowess","1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-mocs-2019-12-29#bayesta__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-players-tour-qualifier-2020-03-23#bayesta__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-05-17#bayesta__th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-16#bayesta__st_place"
"34","exoticherman",4,"Infect; Rakdos Prowess; Jund Shadow; Shadow Prowess","1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#exoticherman_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-16#exoticherman_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-10-18#exoticherman_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-15#exoticherman_th_place"
"35","Samcaster-Mage",4,"Eldrazi Tron","4","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-01-05#samcaster-mage_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-12-0#samcaster-mage_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-11-09#samcaster-mage_st_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-12-20#samcaster-mage_th_place"
"36","qbturtle15",4,"Stoneblade; Jund Midrange; Gruul Midrange","1; 1; 2","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-01-26#qbturtle_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-12-0#qbturtle_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-08-30#qbturtle_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-challenge-2020-09-13#qbturtle_rd_place"
"37","MATTHEWFOULKES",4,"Mono Red Prowess; Green Tron; Burn; Jund Prowess","1; 1; 1; 1","https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-showcase-challenge-2020-01-26#matthewfoulkes_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-players-tour-qualifier-2020-03-30#matthewfoulkes_rd_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-04-19#matthewfoulkes_th_place; https://magic.wizards.com/en/articles/archive/mtgo-standings/modern-super-qualifier-2020-05-31#matthewfoulkes_th_place"
