"","PlayerS","NAppearances","ArchetypeNames","ArchetypeCounts","URL"
"21","ZYURYO",5,"Azorius Control; Omnath Control","3; 2","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-2812266376#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2021-04-1012282937#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-0212344224#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-2412349449#deck_ZYURYO; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-1412355715#deck_ZYURYO"
"22","Moniz0801",5,"Amulet Titan","5","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-2812266376#deck_Moniz0801; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-2512287820#deck_Moniz0801; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-05-1612293277#deck_Moniz0801; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-2612309177#deck_Moniz0801; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-2112357952#deck_Moniz0801"
"23","frakom",5,"Boros Prowess; Burn","1; 4","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-1712285846#deck_frakom; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-0412335533#deck_frakom; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-2612342309#deck_frakom; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-0912345852#deck_frakom; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-3112351484#deck_frakom"
"24","trunks132",5,"Omnath Scapeshift; BTL Valki; Stoneblade; Jund Saga; Izzet Murktide","1; 1; 1; 1; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-2512287820#deck_trunks132; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-05-0912291657#deck_trunks132; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-2612309177#deck_trunks132; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-0512335539#deck_trunks132; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-1112337922#deck_trunks132"
"25","selesneal",5,"Elementals; Omnath Control","3; 2","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-2712309183#deck_selesneal; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-07-0412312091#deck_selesneal; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-0112323799#deck_selesneal; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-10-2412349449#deck_selesneal; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-11-0712353489#deck_selesneal"
"26","SickWorld",4,"Obosh Aggro; Burn","3; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-0312242677#deck_SickWorld; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-2112263387#deck_SickWorld; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-03-2712277640#deck_SickWorld; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-05-1512293271#deck_SickWorld"
"27","pedrogush",4,"Hammer Time","4","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-0312242683#deck_pedrogush; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-2412252774#deck_pedrogush; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-0712258815#deck_pedrogush; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-0512299469#deck_pedrogush"
"28","B1gDan",4,"Shadow Prowess","4","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-0312242683#deck_B1gDan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-1012247565#deck_B1gDan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-1712250166#deck_B1gDan; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-3112256327#deck_B1gDan"
"29","HouseOfManaMTG",4,"Amulet Titan","4","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-1012247559#deck_HouseOfManaMTG; https://www.mtgo.com/en/mtgo/decklist/modern-showcase-challenge-2021-05-2212295286#deck_HouseOfManaMTG; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-06-1212302283#deck_HouseOfManaMTG; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-09-1912340211#deck_HouseOfManaMTG"
"30","MrRaeb",4,"UBRG Control; Heliod Combo; Taking Turns; Creativity Combo","1; 1; 1; 1","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-1712250166#deck_MrRaeb; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-2112263393#deck_MrRaeb; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-07-1112316097#deck_MrRaeb; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-1512328706#deck_MrRaeb"
"31","quinniac",4,"Burn","4","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-2412252768#deck_quinniac; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-02-2112263387#deck_quinniac; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-1712285846#deck_quinniac; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-08-2112331035#deck_quinniac"
"32","kefka27",4,"Izzet Prowess; Eldrazi Tron; Obosh Aggro","1; 1; 2","https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-01-2412252768#deck_kefka27; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-03-2012274938#deck_kefka27; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-03-2712277640#deck_kefka27; https://www.mtgo.com/en/mtgo/decklist/modern-challenge-2021-04-1112282972#deck_kefka27"
