"CardName","Types","AvgMdCount","AvgSbCount","AlwaysMDPresent","AlwaysSBPresent"
"Teferi, Time Raveler","Planeswalker",2.04,0,FALSE,FALSE
"Wrenn and Six","Planeswalker",2.83,0,TRUE,FALSE
"Uro, Titan of Nature's Wrath","Creature",3.74,0,TRUE,FALSE
"Hour of Promise","Sorcery",1.23,0,FALSE,FALSE
"Cryptic Command","Instant",2.64,0,TRUE,FALSE
"Growth Spiral","Instant",2.63,0,FALSE,FALSE
"Mana Leak","Instant",2.34,0,FALSE,FALSE
"Remand","Instant",0.27,0,FALSE,FALSE
"Spell Snare","Instant",0.15,0,FALSE,FALSE
"Breeding Pool","Land",1.14,0,TRUE,FALSE
"Flooded Strand","Land",3.68,0,TRUE,FALSE
"Forest","Land",0.94,0,FALSE,FALSE
"Hallowed Fountain","Land",1,0,TRUE,FALSE
"Island","Land",1.04,0,FALSE,FALSE
"Ketria Triome","Land",1.03,0,TRUE,FALSE
"Misty Rainforest","Land",3.99,0,TRUE,FALSE
"Mountain","Land",0.28,0,FALSE,FALSE
"Mystic Sanctuary","Land",1.88,0,TRUE,FALSE
"Plains","Land",0.56,0,FALSE,FALSE
"Raugrin Triome","Land",1.03,0,TRUE,FALSE
"Scalding Tarn","Land",3.09,0,FALSE,FALSE
"Snow-Covered Forest","Land",0.95,0,FALSE,FALSE
"Snow-Covered Island","Land",0.96,0,FALSE,FALSE
"Steam Vents","Land",1.02,0,TRUE,FALSE
"Temple Garden","Land",0.96,0,FALSE,FALSE
"Snow-Covered Mountain","Land",0.16,0,FALSE,FALSE
"Snow-Covered Plains","Land",0.43,0,FALSE,FALSE
"Sea Gate Restoration","Sorcery",0.12,0,FALSE,FALSE
"Jace, the Mind Sculptor","Planeswalker",0.88,0,FALSE,FALSE
"Teferi, Hero of Dominaria","Planeswalker",0.91,0,FALSE,FALSE
"Archmage's Charm","Instant",0.06,0,FALSE,FALSE
"Lonely Sandbar","Land",0.15,0,FALSE,FALSE
"Polluted Delta","Land",0.02,0,FALSE,FALSE
"Stomping Ground","Land",0.45,0,FALSE,FALSE
"Time Warp","Sorcery",0.25,0,FALSE,FALSE
"Waterlogged Grove","Land",0.01,0,FALSE,FALSE
"Fact or Fiction","Instant",0.01,0,FALSE,FALSE
"Ice-Fang Coatl","Creature",0.02,0,FALSE,FALSE
"Jwari Disruption","Instant",0.01,0,FALSE,FALSE
"Boreal Shelf","Land",0.01,0,FALSE,FALSE
"Wooded Foothills","Land",0.02,0,FALSE,FALSE
"Primeval Titan","Creature",0.01,0,FALSE,FALSE
"Celestial Colonnade","Land",0.01,0,FALSE,FALSE
"Felidar Retreat","Enchantment",0.01,0,FALSE,FALSE
"Simic Growth Chamber","Land",0.01,0,FALSE,FALSE
"Tamiyo, Collector of Tales","Planeswalker",0.01,0,FALSE,FALSE
"Farseek","Sorcery",0.04,0,FALSE,FALSE
"Castle Vantress","Land",0.01,0,FALSE,FALSE
"Oboro, Palace in the Clouds","Land",0.03,0,FALSE,FALSE
"Wall of Blossoms","Creature",0.01,0,FALSE,FALSE
"Ulamog, the Ceaseless Hunger","Creature",0.01,0,FALSE,FALSE
"Izzet Charm","Instant",0.01,0,FALSE,FALSE
"Arid Mesa","Land",0.01,0,FALSE,FALSE
"Reflecting Pool","Land",0.01,0,FALSE,FALSE
"Ghost Quarter","Land",0.01,0,FALSE,FALSE
"Blast Zone","Land",0.01,0,FALSE,FALSE
